Production (MWh);hauteur de chute nette (m);
Q (m3/s);0.0;385000;1145000;2125000;3415000;4835000;5125000;
0.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0.5;0.40;0.41;0.42;0.43;0.43;0.44;0.44;
1.0;1.62;1.64;1.67;1.70;1.73;1.76;1.77;
1.5;3.63;3.68;3.75;3.82;3.89;3.96;3.97;
2.0;6.43;6.52;6.64;6.77;6.89;7.01;7.04;
2.5;9.99;10.13;10.32;10.51;10.71;10.90;10.94;
3.0;13.72;13.91;14.18;14.45;14.72;14.99;15.04;
3.5;16.40;16.63;16.95;17.27;17.60;17.92;17.99;
4.0;19.06;19.32;19.70;20.08;20.46;20.84;20.91;
4.5;21.58;21.88;22.32;22.75;23.18;23.62;23.71;
5.0;23.96;24.30;24.78;25.27;25.76;26.24;26.34;
5.5;26.18;26.55;27.09;27.63;28.17;28.71;28.82;
6.0;28.22;28.63;29.22;29.81;30.40;30.99;31.10;
6.15;28.74;29.16;29.76;30.37;30.97;31.57;31.69;
